epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1020.68,0.00635,0.10858,0.69559,0.98291,0.97498,0.98946,0.75562,0.00604,0.09281,0.61875,0.0011684,0.0011684,0.0011684
44,1044.6,0.00616,0.10554,0.69135,0.96754,0.97458,0.99047,0.75921,0.00588,0.08478,0.62245,0.0011486,0.0011486,0.0011486
45,1068.99,0.0062,0.10572,0.69601,0.98766,0.97288,0.99143,0.76733,0.00574,0.08256,0.61218,0.0011288,0.0011288,0.0011288
46,1093.35,0.00619,0.1043,0.69248,0.98619,0.96811,0.99073,0.76571,0.00594,0.09633,0.62497,0.001109,0.001109,0.001109
47,1117.28,0.00609,0.10224,0.68957,0.98813,0.96441,0.99246,0.76865,0.0057,0.08483,0.60632,0.0010892,0.0010892,0.0010892
48,1141.17,0.00605,0.10263,0.68638,0.97965,0.97923,0.99326,0.7686,0.00575,0.08461,0.60817,0.0010694,0.0010694,0.0010694
49,1163.82,0.00614,0.10346,0.6895,0.99055,0.9661,0.99301,0.76906,0.00584,0.08183,0.61375,0.0010496,0.0010496,0.0010496
50,1186.32,0.00617,0.10347,0.68649,0.98126,0.97644,0.99335,0.76543,0.00589,0.08637,0.61834,0.0010298,0.0010298,0.0010298
51,1208.83,0.00598,0.10064,0.6819,0.98985,0.97288,0.99386,0.78629,0.00563,0.07628,0.60482,0.00101,0.00101,0.00101
52,1233.42,0.00609,0.10042,0.68169,0.97552,0.97797,0.99328,0.77016,0.00588,0.08074,0.61334,0.0009902,0.0009902,0.0009902
53,1256.36,0.00598,0.09985,0.67896,0.99285,0.97797,0.99321,0.76848,0.00578,0.08226,0.60969,0.0009704,0.0009704,0.0009704
54,1278.86,0.006,0.10048,0.67914,0.9863,0.97583,0.99324,0.76644,0.00587,0.07836,0.61437,0.0009506,0.0009506,0.0009506
55,1301.1,0.00605,0.0999,0.68316,0.98292,0.97561,0.99327,0.76523,0.00586,0.08331,0.61347,0.0009308,0.0009308,0.0009308
56,1323.31,0.00596,0.09764,0.67466,0.97616,0.98475,0.99365,0.77051,0.00574,0.07738,0.60978,0.000911,0.000911,0.000911
57,1346.77,0.00594,0.09914,0.67831,0.98639,0.98239,0.99402,0.78118,0.00565,0.07748,0.60301,0.0008912,0.0008912,0.0008912
58,1369.2,0.00595,0.09898,0.67675,0.979,0.98136,0.99331,0.77547,0.00566,0.0785,0.6053,0.0008714,0.0008714,0.0008714
59,1392.44,0.00593,0.09662,0.67481,0.98797,0.97444,0.99317,0.78101,0.00564,0.07845,0.60375,0.0008516,0.0008516,0.0008516
